id,date,time,product_id,product,calories,price,type,quantity,amount,payment_type
1,01/07/2022,08:47 AM,1,Americano,5,2.5,drink,2,5.0,credit
2,08/14/2022,10:24 AM,2,Tea,0,2.0,drink,2,6.0,gift card
3,09/17/2022,06:13 PM,3,Americano,5,2.5,drink,3,5.0,debit
4,05/27/2022,10:22 AM,4,Chai Tea,200,3.5,drink,3,7.0,credit
5,10/13/2022,06:16 PM,5,Iced Coffee,80,2.5,drink,2,7.5,credit
6,09/29/2022,08:48 AM,6,Hot Tea,0,2.0,drink,3,4.0,gift card
7,01/02/2022,12:36 PM,7,Sandwich,512,6.99,food,2,20.97,debit
8,01/04/2022,08:35 PM,8,Tea,0,2.0,drink,1,4.0,debit
9,06/06/2022,02:11 PM,9,Chai Tea,200,3.5,drink,3,10.5,credit
10,02/22/2022,07:39 PM,10,Sandwich,512,6.99,food,1,20.97,cash
11,08/17/2022,10:05 AM,11,Cake,512,5.99,food,1,5.99,gift card
12,04/15/2022,04:38 PM,12,Chai Tea,200,3.5,drink,3,7.0,cash
13,12/19/2022,07:17 AM,13,Iced Coffee,80,2.5,drink,2,2.5,gift card
14,04/21/2022,04:47 PM,14,Iced Tea,0,2.5,drink,3,5.0,debit
15,06/22/2022,01:26 PM,15,Iced Tea,0,2.5,drink,2,7.5,credit
16,01/10/2022,08:29 AM,16,Iced Tea,0,2.5,drink,1,7.5,cash
17,08/17/2022,06:37 PM,17,Hot Tea,0,2.0,drink,1,6.0,gift card
18,05/12/2022,09:42 AM,18,Americano,5,2.5,drink,2,2.5,credit
19,12/29/2022,06:45 PM,19,Cake,512,5.99,food,3,5.99,cash
20,08/31/2022,03:23 PM,20,Latte,120,3.5,drink,1,10.5,gift card
21,05/11/2022,03:57 PM,21,Espresso,10,2.0,drink,3,4.0,cash
22,08/25/2022,06:04 AM,22,Quiche,456,4.99,food,2,14.97,debit
23,07/13/2022,07:48 AM,23,Pastry,397,3.99,food,3,3.99,gift card
24,08/07/2022,01:27 PM,24,Mocha,250,4.0,drink,2,12.0,credit
25,04/22/2022,03:45 PM,25,Tea,0,2.0,drink,3,4.0,credit
26,02/13/2022,07:47 PM,26,Frappe,450,5.0,drink,1,15.0,cash
27,02/19/2022,11:11 AM,27,Espresso,10,2.0,drink,2,6.0,cash
28,01/31/2022,03:20 PM,28,Cappuccino,100,3.0,drink,1,6.0,debit
29,07/21/2022,05:09 PM,29,Lemonade,120,3.0,drink,3,3.0,debit
30,07/14/2022,11:57 AM,30,Tea,0,2.0,drink,3,4.0,debit
31,08/28/2022,09:43 PM,31,Chai Tea,200,3.5,drink,1,7.0,cash
32,07/24/2022,09:48 PM,32,Bagel,289,3.49,food,2,10.47,credit
33,02/23/2022,08:17 PM,33,Cake,512,5.99,food,2,11.98,credit
34,06/12/2022,09:45 AM,34,Chai Tea,200,3.5,drink,1,10.5,gift card
35,07/01/2022,06:59 PM,35,Scone,335,2.49,food,2,7.470000000000001,credit
36,04/23/2022,09:58 PM,36,Muffin,426,3.99,food,2,3.99,credit
37,08/25/2022,03:38 PM,37,Espresso,10,2.0,drink,1,6.0,debit
38,02/11/2022,07:21 AM,38,Wrap,388,5.99,food,3,17.97,debit
39,08/20/2022,04:57 PM,39,Muffin,426,3.99,food,2,11.97,debit
40,05/24/2022,10:36 AM,40,Croissant,231,2.99,food,3,5.98,credit
41,05/14/2022,10:44 AM,41,Americano,5,2.5,drink,1,2.5,gift card
42,05/28/2022,04:58 PM,42,Frappe,450,5.0,drink,3,5.0,cash
43,01/09/2022,09:20 PM,43,Iced Coffee,80,2.5,drink,1,7.5,credit
44,06/21/2022,07:51 PM,44,Muffin,426,3.99,food,1,7.98,credit
45,08/15/2022,08:44 PM,45,Croissant,231,2.99,food,1,2.99,credit
46,03/07/2022,03:04 PM,46,Latte,120,3.5,drink,2,3.5,gift card
47,10/04/2022,04:33 PM,47,Latte,120,3.5,drink,2,7.0,cash
48,12/27/2022,10:55 AM,48,Espresso,10,2.0,drink,3,2.0,cash
49,12/20/2022,01:28 PM,49,Espresso,10,2.0,drink,2,2.0,credit
50,02/27/2022,08:29 PM,50,Muffin,426,3.99,food,1,11.97,gift card
51,05/09/2022,04:27 PM,51,Chai Tea,200,3.5,drink,3,7.0,gift card
52,05/09/2022,06:41 PM,52,Tea,0,2.0,drink,3,6.0,debit
53,06/22/2022,01:34 PM,53,Pastry,397,3.99,food,2,11.97,debit
54,09/25/2022,07:59 PM,54,Muffin,426,3.99,food,1,7.98,credit
55,09/07/2022,09:33 AM,55,Latte,120,3.5,drink,2,7.0,gift card
