"id","date","time","product_id","product","calories","price","type","quantity","amount","payment_type"
2,"02/08/2022","04:19PM",20,"Wrap",388,5.99,"Food",2,11.98,"Gift card"
3,"08/14/2022","06:43PM",23,"Scone",335,2.49,"Food",1,2.49,"Debit"
4,"08/07/2022","04:41PM",16,"Croissant",231,2.99,"Food",2,5.98,"Google Pay"
5,"05/11/2022","05:22PM",2,"Cappuccino",100,3.0,"Drink",2,6.0,"Cash"
6,"03/25/2022","11:32AM",22,"Quiche",456,4.99,"Food",1,4.99,"Credit"
7,"09/19/2022","01:08PM",5,"Mocha",250,4.0,"Drink",1,4.0,"Cash"
8,"03/31/2022","07:44PM",5,"Mocha",250,4.0,"Drink",1,4.0,"Gift card"
9,"02/10/2022","04:01PM",3,"Americano",5,2.5,"Drink",3,7.5,"Debit"
10,"11/06/2022","09:34AM",6,"Iced Coffee",80,2.5,"Drink",2,5.0,"Debit"
11,"12/06/2022","01:38PM",2,"Cappuccino",100,3.0,"Drink",1,3.0,"Debit"
