id,date,time,product_id,product,calories,price,type,quantity,amount,payment_type
1,08/19/2022,06:50 PM,1,Iced Coffee,80,2.5,drink,2,7.5,credit
2,09/28/2022,09:17 PM,2,Chai Tea,200,3.5,drink,2,10.5,gift card
3,03/25/2022,04:23 PM,3,Mocha,250,4.0,drink,2,4.0,credit
4,10/20/2022,04:31 PM,4,Cappuccino,100,3.0,drink,3,6.0,credit
5,12/23/2022,03:32 PM,5,Muffin,426,3.99,food,3,3.99,cash
6,09/12/2022,03:46 PM,6,Pastry,397,3.99,food,1,7.98,credit
7,11/07/2022,03:21 PM,7,Cake,512,5.99,food,3,11.98,gift card
8,12/08/2022,10:36 AM,8,Espresso,10,2.0,drink,3,4.0,gift card
9,07/31/2022,07:51 AM,9,Frappe,450,5.0,drink,2,10.0,credit
10,01/22/2022,08:29 PM,10,Wrap,388,5.99,food,3,17.97,cash
11,11/27/2022,01:39 PM,11,Sandwich,512,6.99,food,3,20.97,credit
12,08/25/2022,06:34 AM,12,Muffin,426,3.99,food,3,11.97,cash
13,10/25/2022,08:56 AM,13,Wrap,388,5.99,food,1,11.98,gift card
14,10/21/2022,07:53 PM,14,Pastry,397,3.99,food,3,3.99,credit
15,02/17/2022,10:57 AM,15,Muffin,426,3.99,food,3,11.97,cash
16,02/19/2022,07:41 AM,16,Latte,120,3.5,drink,1,10.5,credit
17,01/24/2022,07:37 AM,17,Cappuccino,100,3.0,drink,2,3.0,cash
18,12/03/2022,04:57 PM,18,Quiche,456,4.99,food,3,14.97,debit
19,06/08/2022,06:31 PM,19,Hot Tea,0,2.0,drink,3,2.0,gift card
20,11/14/2022,07:32 PM,20,Lemonade,120,3.0,drink,3,9.0,gift card
21,09/02/2022,09:00 PM,21,Iced Coffee,80,2.5,drink,2,5.0,cash
22,10/11/2022,08:18 PM,22,Croissant,231,2.99,food,1,8.97,debit
23,07/10/2022,08:47 AM,23,Cake,512,5.99,food,3,11.98,gift card
24,02/15/2022,07:38 PM,24,Chai Tea,200,3.5,drink,1,10.5,debit
25,01/15/2022,07:22 AM,25,Wrap,388,5.99,food,3,17.97,debit
26,09/07/2022,11:09 AM,26,Cappuccino,100,3.0,drink,3,3.0,cash
27,12/28/2022,09:10 PM,27,Smoothie,200,4.0,drink,2,12.0,credit
28,03/26/2022,02:46 PM,28,Pastry,397,3.99,food,1,11.97,cash
29,07/19/2022,08:16 PM,29,Iced Chai,250,4.0,drink,1,4.0,debit
30,11/11/2022,07:07 AM,30,Smoothie,200,4.0,drink,3,8.0,cash
31,12/21/2022,07:58 PM,31,Americano,5,2.5,drink,2,7.5,cash
32,08/18/2022,04:30 PM,32,Hot Chocolate,300,3.5,drink,1,3.5,cash
33,06/13/2022,03:12 PM,33,Iced Coffee,80,2.5,drink,3,5.0,gift card
34,05/17/2022,04:27 PM,34,Iced Tea,0,2.5,drink,1,7.5,cash
35,08/19/2022,04:57 PM,35,Hot Chocolate,300,3.5,drink,3,10.5,gift card
36,09/05/2022,06:23 AM,36,Muffin,426,3.99,food,3,3.99,cash
37,05/03/2022,06:25 AM,37,Quiche,456,4.99,food,2,14.97,gift card
38,09/16/2022,11:59 AM,38,Cappuccino,100,3.0,drink,3,3.0,credit
39,08/14/2022,07:02 PM,39,Iced Tea,0,2.5,drink,1,5.0,debit
40,07/30/2022,05:24 PM,40,Bagel,289,3.49,food,3,3.49,debit
41,05/23/2022,07:48 AM,41,Latte,120,3.5,drink,1,10.5,cash
